,Twitter Account,Date,Compound,Positive,Negative,Neutral,Text
32,@BBCNews,Sat Dec 02 14:03:52 +0000 2017,0.4019,0.252,0.748,0.0,Chief vet defends support of larger hen cages https://t.co/d1PJYfW4ig
33,@BBCNews,Sat Dec 02 13:57:30 +0000 2017,0.0,0.0,1.0,0.0,RT @BBCScienceNews: Migraine is 'not just a headache' https://t.co/GjoF5Q29Qh
34,@BBCNews,Sat Dec 02 12:40:53 +0000 2017,-0.296,0.0,0.686,0.314,Motorway PC stops lorry from falling off bridge https://t.co/eoRnM2sCA1
35,@BBCNews,Sat Dec 02 12:40:52 +0000 2017,0.0258,0.19,0.657,0.152,RT @bbcstories: Errol’s a mechanic and prostate cancer survivor. Now he’s dedicated to getting as many other men diagnosed as he can. What…
36,@BBCNews,Sat Dec 02 12:23:57 +0000 2017,0.0,0.0,1.0,0.0,"Boy, 14, dies after being hit on M67 in Hyde https://t.co/zLciXH4tvM"
37,@BBCNews,Sat Dec 02 12:03:23 +0000 2017,0.2023,0.13,0.87,0.0,Ashes: Australia on top after day one of second Test in Adelaide https://t.co/n1IoUJJcVi
38,@BBCNews,Sat Dec 02 11:54:26 +0000 2017,0.34,0.107,0.893,0.0,"RT @5liveSport: That's close of play for Day 1 at Adelaide. 

Australia are 209-4. Get all the reaction from @Aggerscricket and @philtufnel…"
39,@BBCNews,Sat Dec 02 11:40:36 +0000 2017,-0.4939,0.0,0.887,0.113,RT @Moneybox: Do we still need cash machines? Some fear the numbers of ATMs could plummet over the next few years. We'll be discussing on M…
40,@BBCNews,Sat Dec 02 11:31:35 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCBusiness: What do unicorns, zebras, sharks and bees have to do with your money? Explore our full A-Z Business Beasts guide here: htt…"
41,@BBCNews,Sat Dec 02 11:02:15 +0000 2017,0.0,0.0,1.0,0.0,New heart for eight-week-old Charlie Douthwaite https://t.co/LY2qmXZiKl
42,@BBCNews,Sat Dec 02 11:02:15 +0000 2017,0.0,0.0,1.0,0.0,Rugby League World Cup: Australia edge out England to retain trophy https://t.co/qeNcrUUzSv
43,@BBCNews,Sat Dec 02 10:53:36 +0000 2017,0.25,0.216,0.625,0.159,"RT @BBCSport: Australia have beaten England to win the #RLWC2017. 

➡ https://t.co/EwfAqAMrNc #bbcrl https://t.co/pl1rVA7gIx"
44,@BBCNews,Sat Dec 02 10:41:12 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: WHAT A GAME THIS IS! 🙌 

10 minutes to go and it could still go either way.

Latest: Australia 6-0 England

Live ➡ https://t.…"
45,@BBCNews,Sat Dec 02 10:19:18 +0000 2017,0.3384,0.098,0.902,0.0,"RT @BBCSport: One thing Australia have done really well in this tournament is be patient, they're continuing with that theme in the #RLWC20…"
46,@BBCNews,Sat Dec 02 10:19:06 +0000 2017,0.0,0.0,1.0,0.0,"RT @bbctms: WICKET!

Overton takes his first Test wicket and it's Australian captain Steve Smith.

#Ashes
#bbccricket 

Live text &amp; @bbctms…"
47,@BBCNews,Sat Dec 02 10:14:46 +0000 2017,0.0,0.0,1.0,0.0,Car hits pedestrians after Brixton 'altercation' https://t.co/OVUOMYqn15
48,@BBCNews,Sat Dec 02 09:57:33 +0000 2017,-0.4215,0.0,0.808,0.192,"RT @BBCSport: The errors proved costly for @England_RL in the first half. 

Live ➡ https://t.co/EwfAqAMrNc #bbcrl #RLWC2017 #bbcrl https://…"
49,@BBCNews,Sat Dec 02 08:56:42 +0000 2017,-0.1531,0.0,0.929,0.071,"RT @BBCSport: England will be missing captain Sean O'Loughlin... but they always have Sam Burgess. 

Follow the #RLWC2017 final live on @BB…"
50,@BBCNews,Sat Dec 02 08:42:22 +0000 2017,-0.0752,0.131,0.708,0.161,David Cameron: We 'didn't solve' dementia cost challenge https://t.co/r5VXe0eut4
51,@BBCNews,Sat Dec 02 08:38:13 +0000 2017,0.34,0.094,0.906,0.0,"RT @BBCSteveR: Nizhny Novgorod, where England will play Panama in the World Cup, used to be closed to foreigners. What can visiting fans ex…"
52,@BBCNews,Sat Dec 02 08:18:36 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: If you're just waking up how about #Ashes with your breakfast

#bbcricket

🏏 Live text &amp; @bbctms : https://t.co/GvwGalXjwe ht…"
53,@BBCNews,Sat Dec 02 08:02:35 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCBusiness: It's a jungle out there in the finance world and we're on a safari. Over the next month, we'll be posting our A-Z of Busin…"
54,@BBCNews,Sat Dec 02 07:04:42 +0000 2017,0.0,0.0,1.0,0.0,New archbishop wants to 'refresh' Church in Wales https://t.co/5y5xr6klgf
55,@BBCNews,Sat Dec 02 05:40:17 +0000 2017,-0.802,0.0,0.581,0.419,Newark: Culture focus to change 'worst town to be poor' label https://t.co/W2MIqL4396
56,@BBCNews,Sat Dec 02 04:52:33 +0000 2017,0.0,0.0,1.0,0.0,Damian Green porn claims 'flagrant police breach' https://t.co/gAgB8UyH3x
57,@BBCNews,Sat Dec 02 02:36:05 +0000 2017,-0.9001,0.0,0.353,0.647,Murderer William Kerr arrested after absconding from prison https://t.co/Jd0x6rbl5c
58,@BBCNews,Sat Dec 02 02:22:06 +0000 2017,-0.6486,0.0,0.699,0.301,Five Northampton cat deaths linked to 'Croydon cat killer' probe https://t.co/0HG27KdQMD
59,@BBCNews,Sat Dec 02 01:20:51 +0000 2017,-0.6808,0.0,0.635,0.365,Murderer William Kerr absconds from HMP Hollesley Bay https://t.co/4fREPvM2Kr
60,@BBCNews,Sat Dec 02 01:05:54 +0000 2017,0.0,0.0,1.0,0.0,My brain 'exploded' after kick in the head https://t.co/i4VSEqGRxL
61,@BBCNews,Sat Dec 02 01:05:54 +0000 2017,-0.5859,0.0,0.648,0.352,Pupils' diaries convict Hampshire sex assault teacher https://t.co/VNcF6cDJcY
62,@BBCNews,Sat Dec 02 01:02:22 +0000 2017,0.25,0.222,0.778,0.0,Minister calls for minimum banking services guarantee https://t.co/FOd505qJDU
63,@BBCNews,Fri Dec 01 23:54:29 +0000 2017,0.0,0.0,1.0,0.0,How much of your salary is spent on rent? https://t.co/Be73VnTgOH
64,@BBCNews,Fri Dec 01 23:50:33 +0000 2017,-0.6249,0.0,0.579,0.421,Woman arrested after toddler found alone in Wigan https://t.co/FYaIq5uTX8
65,@BBCNews,Fri Dec 01 22:34:03 +0000 2017,0.0,0.0,1.0,0.0,"Saturday's Times: ""Cabinet split over Green after police porn claims"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/AlosgmD4Xy"
66,@BBCNews,Fri Dec 01 22:14:59 +0000 2017,-0.6908,0.0,0.701,0.299,"Saturday's Daily Star: ""Murder on the dancefloor"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/KCpP3eOKrT"
67,@BBCNews,Fri Dec 01 22:14:54 +0000 2017,0.0,0.0,1.0,0.0,"Saturday's Daily Telegraph: ""Trump aide turns informer in Russia case"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/tO6AJTr0p0"
68,@BBCNews,Fri Dec 01 22:14:54 +0000 2017,0.0,0.0,1.0,0.0,"Saturday's Sun: ""Mega star!"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/Pso8PxvKmW"
69,@BBCNews,Fri Dec 01 22:14:49 +0000 2017,0.0,0.0,1.0,0.0,"Saturday's Daily Mirror: ""The minister for porn"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/tspV9KaKMQ"
70,@BBCNews,Fri Dec 01 22:10:39 +0000 2017,-0.34,0.0,0.745,0.255,Kaspersky Labs: Warning over Russian anti-virus software https://t.co/G1t6ShDKYD
71,@BBCNews,Fri Dec 01 22:01:08 +0000 2017,0.0,0.0,1.0,0.0,RT @BBCSport: ⚡️ “The World Cup draw: a very English reaction” https://t.co/iYCNNnUo2K
72,@BBCNews,Fri Dec 01 22:00:47 +0000 2017,0.25,0.069,0.931,0.0,"RT @BBCSport: FT AFC Fylde 1-1 Wigan

Both teams are still in the hat and in with a chance of landing a draw against the big boys in the th…"
73,@BBCNews,Fri Dec 01 22:00:43 +0000 2017,0.4404,0.132,0.868,0.0,"RT @BBCSportWales: FT: #CardiffCity 3-1 Norwich 

The Bluebirds close the gap to leaders Wolverhampton Wanderers to just a point thanks to…"
74,@BBCNews,Fri Dec 01 22:00:37 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: FT Leeds 1-1 Aston Villa 

Henri Lansbury earns #AVFC a point against #LUFC in an even game at Elland Road https://t.co/xYzkq…"
75,@BBCNews,Fri Dec 01 21:52:28 +0000 2017,-0.5994,0.0,0.769,0.231,"Saturday's Daily Mail: ""Tories at war with the police"" #tomorrowspaperstoday #BBCpapers (via @hendopolis) https://t.co/CHBtQEuIsx"
76,@BBCNews,Fri Dec 01 21:52:24 +0000 2017,-0.7906,0.0,0.682,0.318,"Saturday's i weekend: ""Davis threat to quit if deputy PM is fired over porn"" #tomorrowspaperstoday #BBCpapers (via… https://t.co/Pl2D7PPP5s"
77,@BBCNews,Fri Dec 01 21:52:22 +0000 2017,-0.7351,0.0,0.659,0.341,"Saturday's Financial Times Weekend: ""Flynn pleads guilty to lying over Russian ties"" #tomorrowspaperstoday… https://t.co/VcLETDikrA"
78,@BBCNews,Fri Dec 01 20:57:57 +0000 2017,0.4588,0.188,0.812,0.0,Prince Harry and Meghan Markle complete first joint public engagement since... their engagement… https://t.co/2Ohm4KHBSL
79,@BBCNews,Fri Dec 01 20:57:27 +0000 2017,0.0,0.0,1.0,0.0,Toys R Us prepares to shut 25 stores https://t.co/merUbSymON
80,@BBCNews,Fri Dec 01 20:53:53 +0000 2017,0.0,0.0,1.0,0.0,RT @bbcweather: What's the #weekend got in store? The forecast for the next 48 hours squeezed into 60 seconds. Get your local detail here h…
81,@BBCNews,Fri Dec 01 20:06:23 +0000 2017,0.4019,0.139,0.861,0.0,"RT @BBCSteveR: Want to know more about Volgograd, where England play their opening World Cup match next June? It has one of the world's tal…"
82,@BBCNews,Fri Dec 01 20:05:53 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBC_HaveYourSay: ""I will have a 70-mile round trip now"" - the lengths people say they'll have to go to with bank branch closures on the…"
83,@BBCNews,Fri Dec 01 20:02:31 +0000 2017,-0.8074,0.0,0.451,0.549,'Suicide pact' trial: Natasha Gordon found guilty https://t.co/SNUs60mMRt
84,@BBCNews,Fri Dec 01 19:31:53 +0000 2017,0.4215,0.259,0.741,0.0,"RT @BBCWorld: Artist rescued after not-so-great 'escape'

https://t.co/cKQrURtq69 https://t.co/RvVwXigmkY"
85,@BBCNews,Fri Dec 01 18:37:43 +0000 2017,-0.5267,0.0,0.793,0.207,RT @BBCBusiness: RBS is closing branches. Is your nearest one under threat? https://t.co/qvmDLB6f0W https://t.co/t1AYd5l92u
86,@BBCNews,Fri Dec 01 17:49:56 +0000 2017,0.0,0.0,1.0,0.0,Supermarkets 'raise the price of Christmas biscuits' https://t.co/QmYmXwu7wQ
87,@BBCNews,Fri Dec 01 17:29:17 +0000 2017,0.3182,0.108,0.892,0.0,"Any UK offer to deal with Irish border after #Brexit must be acceptable to Ireland, EU's Donald Tusk says… https://t.co/u4QkhRddYq"
88,@BBCNews,Fri Dec 01 17:27:37 +0000 2017,0.3182,0.247,0.753,0.0,Brexit offer 'must be acceptable to Ireland' https://t.co/GZV3URQgd4
89,@BBCNews,Fri Dec 01 17:15:34 +0000 2017,0.2263,0.083,0.917,0.0,"Irish PM says he's prepared to ""stand firm"" with EU partners if UK offer ""falls short"" on key #Brexit issues – incl… https://t.co/2S9QEcTg29"
90,@BBCNews,Fri Dec 01 16:52:11 +0000 2017,0.0,0.0,1.0,0.0,SNP MP rebuked for calling Lords 'ermine vermin' https://t.co/orzcbYNMsP
91,@BBCNews,Fri Dec 01 16:49:53 +0000 2017,0.0,0.0,1.0,0.0,RT @bbclaurak: Apparently in fact the PM herself does NOT have the final Green report
92,@BBCNews,Fri Dec 01 16:31:25 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Fixtures ✅
Times ✅
Place ✅

Plan your 2018 Fifa #WorldCup here 👉 https://t.co/ZP8c002zey #WorldCupDraw #bbcfootball https://t…"
93,@BBCNews,Fri Dec 01 16:31:01 +0000 2017,0.0,0.0,1.0,0.0,RT @bbclaurak: Damian Green now heading back to constituency - understand he has not seen contents of report but the PM now has it - source…
94,@BBCNews,Fri Dec 01 16:15:29 +0000 2017,0.34,0.179,0.821,0.0,"World Cup draw: England play Belgium, Panama and Tunisia in Group G https://t.co/fCHlqcnS8d"
95,@BBCNews,Fri Dec 01 16:14:25 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Here it is - the 2018 Fifa #WorldCupDraw in full.

Live reaction 👉 https://t.co/XhMcEMjVJd

#bbcfootball https://t.co/0VuT9eD…"
96,@BBCNews,Fri Dec 01 16:03:34 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Here's how Group G looks for the 2018 Fifa World Cup.

Live reaction 👉 https://t.co/XhMcEMjVJd #WorldCupDraw #bbcfootball htt…"
97,@BBCNews,Fri Dec 01 15:43:39 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: Group G

🇧🇪 Belgium
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England

Follow live:

📺 @BBCTwo
📻 @bbc5live
📱 https://t.co/XhMcEMjVJd

#WorldCupDraw #bbcfootball"
98,@BBCNews,Fri Dec 01 15:43:11 +0000 2017,0.6355,0.32,0.68,0.0,"RT @BBC_HaveYourSay: ""I can't stop laughing...this is making fun of our intelligence.""
https://t.co/7wbOXilh34"
99,@BBCNews,Fri Dec 01 15:27:37 +0000 2017,0.0,0.0,1.0,0.0,"RT @BBCSport: The 2018 Fifa #WorldCupDraw is moments away ⚽️

Follow live coverage 👉 https://t.co/XhMcEMjVJd

Tweet us #bbcfootball https:/…"
100,@CBSNews,Sat Dec 02 20:55:21 +0000 2017,0.3818,0.115,0.885,0.0,"""We are focused on delivering a newscast powered by reporting and writing that will get to the heart of the issues… https://t.co/nSvY7XD3Yh"
101,@CBSNews,Sat Dec 02 20:35:01 +0000 2017,0.4939,0.138,0.862,0.0,A British police officer has been praised for grabbing hold of a van as it dangled on an icy bridge over a highway… https://t.co/th3z6BUIbj
102,@CBSNews,Sat Dec 02 20:15:01 +0000 2017,0.0,0.0,1.0,0.0,More than 200 pounds of unclaimed contraband bologna was seized at U.S.-Mexico border this week:… https://t.co/uFHL9ZxYr4
103,@CBSNews,Sat Dec 02 19:55:01 +0000 2017,0.0,0.0,1.0,0.0,The White House is finalizing plans for President Trump to announce that the U.S. will recognize Jerusalem as the c… https://t.co/eRtoIxExIv
104,@CBSNews,Sat Dec 02 19:35:01 +0000 2017,0.0,0.0,1.0,0.0,"For more than 20 years, the band Spoon has been a staple of the indie rock circuit, blending rock, pop and punk:… https://t.co/C6pRhJVjWB"
105,@CBSNews,Sat Dec 02 18:55:02 +0000 2017,0.2023,0.131,0.777,0.092,An FBI agent suspected of sending anti-Trump texts has been removed from special counsel Robert Mueller's team… https://t.co/dSPLShCTBY
106,@CBSNews,Sat Dec 02 18:35:00 +0000 2017,0.5719,0.198,0.802,0.0,"Andy Weir, the author of ""The Martian,"" is happy to remain an ""earthbound misfit""
https://t.co/Ka9b8nU6wq https://t.co/Mb4VFsySTC"
107,@CBSNews,Sat Dec 02 18:15:01 +0000 2017,-0.7351,0.0,0.754,0.246,"President Trump says he fired Michael Flynn because he lied to VP Pence and  FBI, insists there's ""nothing to hide""… https://t.co/ZPMroHl24z"
108,@CBSNews,Sat Dec 02 17:55:01 +0000 2017,0.1779,0.12,0.788,0.091,Missing Florida teenager who police said was with 27-year-old high school soccer coach has been found safe in New Y… https://t.co/88bxQJBDCM
109,@CBSNews,Sat Dec 02 17:35:01 +0000 2017,0.0,0.0,1.0,0.0,"Tax reform bill: What's in the final version passed by the Senate early Saturday?
https://t.co/sbbMrAuxAE https://t.co/FQEPeIog5l"
110,@CBSNews,Sat Dec 02 17:19:32 +0000 2017,-0.6124,0.0,0.808,0.192,"NEW: President Trump speaks out on Michael Flynn, says he ""had to fire General Flynn because he lied to the Vice Pr… https://t.co/weVVAfOlHo"
111,@CBSNews,Sat Dec 02 17:15:01 +0000 2017,0.0,0.0,1.0,0.0,"This week, archaeologists unearthed part of one of the 21 sphinxes Cecil B. DeMille left behind after wrapping up f… https://t.co/rqTCpaOVux"
112,@CBSNews,Sat Dec 02 16:55:02 +0000 2017,0.25,0.1,0.9,0.0,"Proponents claim the Senate GOP tax plan would ""directly benefit"" all Americans, but how people would actually make… https://t.co/WDsQyA4T6H"
113,@CBSNews,Sat Dec 02 16:35:01 +0000 2017,0.3612,0.122,0.878,0.0,"Jesse Ventura and the estate of ""American Sniper"" author Chris Kyle agree to dismiss the former Minnesota governor'… https://t.co/jz7Xvf6MEC"
114,@CBSNews,Sat Dec 02 16:15:01 +0000 2017,-0.5859,0.0,0.798,0.202,"The remains of a missing Army veteran and her dog were found in a shallow grave after a tip from her ex-husband, po… https://t.co/btNUdTMfmx"
115,@CBSNews,Sat Dec 02 15:55:02 +0000 2017,0.0,0.0,1.0,0.0,"A white nationalist group set up a memorial for Kate Steinle near where she was shot, decorating it with flowers, c… https://t.co/6UQ8z9ot2Z"
116,@CBSNews,Sat Dec 02 15:35:55 +0000 2017,-0.296,0.0,0.872,0.128,The Senate narrowly passed Republicans' tax reform legislation early Saturday morning with no Democratic support:… https://t.co/0dtDL2AOs6
117,@CBSNews,Sat Dec 02 15:16:01 +0000 2017,-0.6478,0.0,0.739,0.261,"President Trump reacts to Michael Flynn's guilty plea, says there was ""absolutely no collusion"" with Russia… https://t.co/uLOmLVfoX6"
118,@CBSNews,Sat Dec 02 14:55:01 +0000 2017,0.0,0.0,1.0,0.0,"The first baby born from a uterus transplant in the U.S. has been delivered in Texas:
https://t.co/5i0f6j2ZB7 https://t.co/c5y0gC69yQ"
119,@CBSNews,Sat Dec 02 14:35:01 +0000 2017,-0.7579,0.0,0.723,0.277,Investigators in North Carolina say a missing 3-year-old girl is believed to be dead; her mother's boyfriend has be… https://t.co/NgFAD6PWrb
120,@CBSNews,Sat Dec 02 20:55:21 +0000 2017,0.3818,0.115,0.885,0.0,"""We are focused on delivering a newscast powered by reporting and writing that will get to the heart of the issues… https://t.co/nSvY7XD3Yh"
121,@CBSNews,Sat Dec 02 20:35:01 +0000 2017,0.4939,0.138,0.862,0.0,A British police officer has been praised for grabbing hold of a van as it dangled on an icy bridge over a highway… https://t.co/th3z6BUIbj
122,@CBSNews,Sat Dec 02 20:15:01 +0000 2017,0.0,0.0,1.0,0.0,More than 200 pounds of unclaimed contraband bologna was seized at U.S.-Mexico border this week:… https://t.co/uFHL9ZxYr4
123,@CBSNews,Sat Dec 02 19:55:01 +0000 2017,0.0,0.0,1.0,0.0,The White House is finalizing plans for President Trump to announce that the U.S. will recognize Jerusalem as the c… https://t.co/eRtoIxExIv
124,@CBSNews,Sat Dec 02 19:35:01 +0000 2017,0.0,0.0,1.0,0.0,"For more than 20 years, the band Spoon has been a staple of the indie rock circuit, blending rock, pop and punk:… https://t.co/C6pRhJVjWB"
125,@CBSNews,Sat Dec 02 18:55:02 +0000 2017,0.2023,0.131,0.777,0.092,An FBI agent suspected of sending anti-Trump texts has been removed from special counsel Robert Mueller's team… https://t.co/dSPLShCTBY
126,@CBSNews,Sat Dec 02 18:35:00 +0000 2017,0.5719,0.198,0.802,0.0,"Andy Weir, the author of ""The Martian,"" is happy to remain an ""earthbound misfit""
https://t.co/Ka9b8nU6wq https://t.co/Mb4VFsySTC"
127,@CBSNews,Sat Dec 02 18:15:01 +0000 2017,-0.7351,0.0,0.754,0.246,"President Trump says he fired Michael Flynn because he lied to VP Pence and  FBI, insists there's ""nothing to hide""… https://t.co/ZPMroHl24z"
128,@CBSNews,Sat Dec 02 17:55:01 +0000 2017,0.1779,0.12,0.788,0.091,Missing Florida teenager who police said was with 27-year-old high school soccer coach has been found safe in New Y… https://t.co/88bxQJBDCM
129,@CBSNews,Sat Dec 02 17:35:01 +0000 2017,0.0,0.0,1.0,0.0,"Tax reform bill: What's in the final version passed by the Senate early Saturday?
https://t.co/sbbMrAuxAE https://t.co/FQEPeIog5l"
130,@CBSNews,Sat Dec 02 17:19:32 +0000 2017,-0.6124,0.0,0.808,0.192,"NEW: President Trump speaks out on Michael Flynn, says he ""had to fire General Flynn because he lied to the Vice Pr… https://t.co/weVVAfOlHo"
131,@CBSNews,Sat Dec 02 17:15:01 +0000 2017,0.0,0.0,1.0,0.0,"This week, archaeologists unearthed part of one of the 21 sphinxes Cecil B. DeMille left behind after wrapping up f… https://t.co/rqTCpaOVux"
132,@CBSNews,Sat Dec 02 16:55:02 +0000 2017,0.25,0.1,0.9,0.0,"Proponents claim the Senate GOP tax plan would ""directly benefit"" all Americans, but how people would actually make… https://t.co/WDsQyA4T6H"
133,@CBSNews,Sat Dec 02 16:35:01 +0000 2017,0.3612,0.122,0.878,0.0,"Jesse Ventura and the estate of ""American Sniper"" author Chris Kyle agree to dismiss the former Minnesota governor'… https://t.co/jz7Xvf6MEC"
